All Boston,,,,,,,,,
,Corp,host_id,host_name,Count of host_listings (total),Count of company_listings,Average of availability,Average of occupancy nights,Average of minimum nights,Low Minimum Nights
,PCHNortheast,359229620,PCHNortheast,203,203,341.1,#N/A,91.2,91
,Churchill,30283594,Global Luxury Suites,71,123,289.5,100.3,27.5,2
,,9419684,Mike,40,,,,,
,,163251048,Jen,12,,,,,
,Blueground,107434423,Blueground,90,90,264.8,143.4,33.9,32
,STR Boston,814298,Thatch,40,66,199.0,188.7,32.6,2
,,1444340,Will,26,,,,,
,Sonder,12243051,Sonder,44,62,303.6,227.7,25.9,2
,,224829568,Sonder (Boston),18,,,,,
,Bay Village,285344759,Bv,33,56,183.8,140.6,2.0,2
,,244600805,Bay Village,23,,,,,
,Maverick Empire,22348222,Maverick,55,55,249.3,206.1,1.2,1
,Evonify,212359760,Evonify,45,54,213.7,115.0,1.7,1.0
,,274552333,Evonify,9,,,,,
,Barsala,8534462,Barsala,50,50,70.4,94.0,2.0,2
,Nora House,18110188,Cindy,47,47,297.3,252.6,1.0,1
,B- Lance,71783,Lance,42,42,198.4,236.9,31.1,29
,Together We,21184200,Airbnb,29,35,69.6,185.3,1.5,1
,,328488585,Together We,2,,,,,
,,331225367,Airbnb,2,,,,,
,,261436898,Together We,1,,,,,
,,260643536,Together We,1,,,,,
,Temple Place,205269848,Temple Place,34,34,170.1,167.7,1.9,1
,C- Huggy,18517776,Huggy,31,31,358.7,179.6,91.0,91
,Bluebird,95459395,Bluebird,27,27,336.0,40.3,9.4,1
,STARS,266312920,STARS Of,13,22,229.3,247.6,42.5,28
,,31340713,Kama,9,,,,,
,D- Steven,275849638,Steven,20,20,169.8,255.1,3.0,1
,Zeus,48005494,Zeus,20,20,141.7,252.8,40.0,31
,E- Ann,41932249,Ann,18,18,90.0,252.1,71.0,1
,Luxurious,18202088,Luxurious,18,18,89.0,232.5,91.0,91
,Compass,20857768,Compass,18,18,81.2,171.3,9.0,9
,F- Anne,105851798,Anne,17,17,275.5,238.8,35.5,28
,Eder,25203946,Eder,17,17,150.9,104.1,3.6,2
,Post Group,9410008,Jason,16,16,343.3,251.5,2.0,2
,Furnished Quarters,22541573,Ken,15,15,298.1,198.5,91.0,91
,Boston Park Plaza,243931054,Boston Park Plaza,13,13,166.6,90.2,1.0,1
,G-Muny,127718668,Muny,13,13,334.6,57.3,1.0,1
,H-Belkis,209395207,Belkis,12,12,285.6,239.6,29.9,29
,I-Kat,133927887,Kat,12,12,#N/A,255.5,91.0,91
,K-June,297860058,June,11,11,342.2,#N/A,41.1,30
,L-Moe,336537667,Moe,11,11,364.6,85.4,1.2,1
,Boaton Corporate Housing,20079643,Alex @ Bcohousing,11,11,118.0,224.1,30.0,30
,Voyage,2356643,Voyage,11,11,215.5,216.8,10.2,2
,M- Michelle,38997,Michelle,11,11,335.4,171.6,50.9,28
,N- Jurek,21745230,Jurek,11,11,174.8,163.8,25.8,1
,Bed and Breakfast Associates Bay Colony,32532791,Marie,10,10,150.5,79.7,2.3,2
,O- Mac,26704689,Mac,10,10,353.6,252.7,91.0,91
,P- Jihane,293373619,Jihane,10,10,324.1,177.6,34.3,28
,Q- Maria & Kevin,39266840,Maria & Kevin,10,10,360.9,121.1,2.0,2
*,Sassmorr,26988,Anne,6,6,278.8,248.1,61.5,32
*,R- Glenn,9653086,Glenn,6,6,291.0,255.5,29.7,28
*,SleepAfloat,105620455,SleepAfloat,3,3,91.0,255.5,91.0,91
*,S- Deborah,3029783,Deborah,3,3,347.0,79.9,2.0,2
*,Furnished Rentals,3137257,Elyne*,1,1,279.0,255.5,91.0,91
,* former top 25 hosts,,,,,,,,