GPSaddress,Bldg name,Bldg units,Bldg flrs,Source,latlong,Barsala,Bay Village,Blue Corporate Housing,Bluebird,Churchill Corporate Housing,Compass,Express Corporate Housing,Evonify,Furnished Quarters,Global Luxury Suites,Maverick Suites ,National Corporate Housing,Northeast Suites,Oakwood Worldwide,Princeton Properties,Seamless Transitions,Sonder,Stay Alfred,Stayawhile,O-Lodging House,O-Exec Suite,lat,long
"29-35 Temple Pl, Boston MA 02111",The Suites at Temple Place,48,6,AirBPDBjn,"42.3550474,-71.0622106",,,,,,,,,,,,,,,,,,,,1,,42.3550474,-71.0622106
"30-36 Batterymarch St, Boston MA 02110",,,10,AirBPDBjn,"42.3576270,-71.0540612",,,,,,,,,,,,,,,,,1,,,,,,
"30 Caldwell Street, Charlestown MA 02129",,,4,RichCorpSS,"42.3847871,-71.0775402",,,,,,,,,,,,,,,,1,,,,,,42.3847871,-71.0775402
"30 Dalton Street, Boston MA 02115",Belvidere Dalton West/30 Dalton,218,27,RichCorpSS,"42.3459685,-71.0847361",,,,,,1,,,1,,,,,,,,,,,,,42.3459685,-71.0847361
"30 Garrison Street, Boston MA 02116",Garrison Square Apartments,,6,RichCorpSS,"42.3456536,-71.07872619999999",,,,,1,,,,1,1,,1,1,,,1,,,,,,42.3456536,-71.0787262
"30 Wallingford Rd, Brighton MA 02135",,,10,BigBldgDB,"42.34197289999999,-71.1526497",,,,,,,,,,,,,,,,,,,,,,42.3419729,-71.1526497
"300 Harrison Av, Boston MA 02118",,,8,BigBldgDB,"42.3456727,-71.06277659999999",,,,,,,,,,,,,,,,,,,,,,42.3456727,-71.0627766
"300 Summer St, Boston MA 02210",,,8,BigBldgDB,"42.3499931,-71.0491732",,,,,,,,,,,,,,,,,,,,,,42.3499931,-71.0491732
"301-319 Columbus Av, Boston MA 02116",,,9,AirBPDBjn,"42.34681399999999,-71.074522",,,,,,,,,,,,,,,,,,,,,,42.346814,-71.074522
"315 A Street, Boston MA 02210",315 on A,202,19,RichCorpSS,"42.3486656,-71.0483639",,,,,,,,,,1,,,1,,,,,1,,,,42.3486656,-71.0483639
"318-366 Tremont St, Boston MA 02116",,,10,BigBldgDB,"42.3482236,-71.0664561",,,,,,,,,,,,,,,,,,,,,,42.3482236,-71.0664561
"319R A St, South Boston MA 02127",,,20,BigBldgDB,"42.348639,-71.04841700000001",,,,,,,,,,,,,,,,,,,,,,42.348639,-71.048417
"32 Garrison Street, Boston MA 02116",Garrison Square Apartments,160,6,RichCorpSS,"42.3457149,-71.0790971",,,,,,,,,,,,,,1,,,,1,,,,42.3457149,-71.0790971
"320 D Street, Boston MA 02127",West Square,,4,RichCorpSS,"42.3409851,-71.04968389999999",,,,,,,,,,,,,,,,,1,,,,,42.3409851,-71.0496839
"324-332 Beacon St, Boston MA 02116",330 Beacon,,18,AirBPDBjn,"42.3528064,-71.0833837",,,,,,,,,,,,,,,,,,,,,,42.3528064,-71.0833837
"33 Gray Street, Boston MA 02116",,,4,RichCorpSS,"42.3456343,-71.0715745",,,,,,,,,,,,,,,,1,,,,,,42.3456343,-71.0715745
"35 South Huntington Ave, Boston MA 02130",Walter Huntington Apartments,38,6,RichCorpSS,"42.3311626,-71.1120329",,,,,,,,,,1,,,,,,,,,,,,42.3311626,-71.1120329
"350 North St, Boston MA 02113",,,10,AirBPDBjn,"42.3655117,-71.05182649999999",,,,,,,,,,,,,,,,,,,,,,42.3655117,-71.0518265
"3589-3612 Washington St, Jamaica Plain MA 02130",,,6,BigBldgDB,"42.3033246,-71.1107723",,,,,,,,,,,,,,,,,,,,,,42.3033246,-71.1107723
"372-378 Stuart St, Boston MA 02116",,,9,BigBldgDB,"42.3490017,-71.0729411",,,,,,,,,,,,,,,,,,,,,,42.3490017,-71.0729411
"373 Commonwealth Av, Boston MA 02115",,,6,AirBPDBjn,"42.349492,-71.08928569999999",,,,,,,,,,,,,,,,,,,,,,42.349492,-71.0892857
"375-401 Mt Vernon St, Dorchester MA 02125",,,9,BigBldgDB,"42.3176022,-71.0420172",,,,,,,,,,,,,,,,,,,,,,42.3176022,-71.0420172
"381 Congress Street, Boston MA 02110",The Lofts at 381 Congress,44,6,RichCorpSS,"42.3495068,-71.047625",,,,,,,,,,,,,,1,1,,,,,,,42.3495068,-71.047625
"390 Commonwealth Av, Boston MA 02115",,,9,AirBPDBjn,"42.3486408,-71.09025919999999",,,,,,,,,,,,,,,,,,,,,,42.3486408,-71.0902592
"398-498 Tremont St, Boston MA 02116",,,7,BigBldgDB,"42.3461316,-71.0679719",,,,,,,,,,,,,,,,,,,,,,42.3461316,-71.0679719
"4 Charlesgate East , Boston MA 02115",,,8,AirBPDBjn,"42.3500788,-71.0915041",,,,,,,,,,,,,,,,,,,,,,42.3500788,-71.0915041
"4 Emerson Place, Boston MA 02114",Asteria at West End Apartments,,11,RichCorpSS,"42.3642747,-71.0680228",,,1,,1,,,,1,1,,1,1,1,,1,,,,,,42.3642747,-71.0680228
"40 Boylston St, Boston MA 02116",,,7,RichCorpSS,"42.3522094,-71.0639027",1,,,,,,,,,,,,,,,,1,,,,,42.3522094,-71.0639027
"40 E Pier Dr, East Boston MA 02128",Portside at East Pier,,6,AirBPDBjn,"42.3659274,-71.0400274",,,,,,,,,,,,,,,,,,,,,,,
"40 Fisher Ave, Boston MA 02120","Cliff apts, aka Longwood terrace",15,3,RichCorpSS,"42.32738519999999,-71.1016343",,,,,,,,,,,,,1,,,,,,,,,42.3273852,-71.1016343
40 Temple Street  MA 02114,40 Temple Street Apartments,,3,RichCorpSS,"42.360169,-71.063465",,,,,,,,,,,1,,1,,,,,,,1,,42.360169,-71.063465
"400 Columbus Ave, Boston MA 02116",400 Columbus Ave Apartments,,4,RichCorpSS,"42.3444815,-71.0763637",,,,,,,,,,,1,,1,,,,,,,1,,42.3444815,-71.0763637
"400 Stuart St, Boston MA 02116",,,8,BigBldgDB,"42.3488635,-71.07361829999999",,,,,,,,,,,,,,,,,,,,,,42.3488635,-71.0736183
"401 Mt Vernon St, Dorchester MA 02125",,,7,BigBldgDB,"42.3166575,-71.04053739999999",,,,,,,,,,,,,,,,,,,,,,42.3166575,-71.0405374
"408-826 Border St, East Boston MA 02128",,,7,BigBldgDB,"42.3815525,-71.0416693",,,,,,,,,,,,,,,,,,,,,,42.3815525,-71.0416693
"410 Stuart St, Boston MA 02116",,,14,BigBldgDB,"42.348578,-71.074482",,,,,,,,,,,,,,,,,,,,,,42.348578,-71.074482
"410-396 Brookline Av, Boston MA 02115",,,25,BigBldgDB,"42.3382746,-71.1069663",,,,,,,,,,,,,,,,,,,,,,42.3382746,-71.1069663
"411 D Street, Boston MA 02210",Flats On D,197,6,RichCorpSS,"42.3446367,-71.0435978",,,,,,,,,,,,,,1,,,,,,,,42.3446367,-71.0435978
"42 Beach Street, Boston MA 02111",Avalna Lofts/Residences,,10,AirBPDBjn,"42.3516372,-71.0609659",,,,,,,,,,,,,,,,,,,,,,,
42 Lomasney Way MA 02114,,,4,RichCorpSS,"42.3654145,-71.06432029999999",,,,,,,,,,,,,,,,1,,,,,,42.3654145,-71.0643203
"423-435 E Eighth St, South Boston MA 02127",,,17,BigBldgDB,"42.330928,-71.0435942",,,,,,,,,,,,,,,,,,,,,,42.330928,-71.0435942
"44 Prince St, Boston MA 02113",,,6,AirBPDBjn,"42.3644291,-71.0550232",,,,,,,,,,,,,,,,,,,,,,42.3644291,-71.0550232
"45 E Newton St, Boston MA 02118",,,7,BigBldgDB,"42.3376389,-71.0724798",,,,,,,,,,,,,,,,,,,,,,42.3376389,-71.0724798
"45 Stuart St, Boston MA 02116",AVA Theater District,,35,AirBPDBjn,"42.3511359,-71.0640199",,,,,,,,,,,,,,,,,,,,,,,
"45 Worcester Street, Boston MA 02118",,,5,RichCorpSS,"42.3388008,-71.07694830000001",,,,,,,,,,,,,,,,1,,,,,,42.3388008,-71.0769483
"455 Massachusetts Ave, Boston MA 02118",,,5,RichCorpSS,"42.34019929999999,-71.0815277",,,,,,,,,,,,,1,,,,,,,,,42.3401993,-71.0815277
"457 E First St, South Boston MA 02127",,,6,BigBldgDB,"42.3379144,-71.04193029999999",,,,,,,,,,,,,,,,,,,,,,42.3379144,-71.0419303
"47-49 Hancock St, Boston MA 02114",,,4,RichCorpSS,"42.3597937,-71.0646416",,,,,,,,,,,,,,,,,1,,,,,42.3597937,-71.0646416
"476 Columbus Ave, Boston MA 02118",,,4,RichCorpSS,"42.3429054,-71.0784803",,,,,,,,,,,,,,,,1,,,,,,42.3429054,-71.0784803
"48 Beacon St, Boston MA 02108",,,12,AirBPDBjn,"42.3568002,-71.0673961",,,,,,,,,,,,,,,,,,,,,,42.3568002,-71.0673961
"48 Hereford Street, Boston MA 02115",,,4,RichCorpSS,"42.3490672,-71.0856014",,,,,,,,,,,,,,,,1,,,,,,42.3490672,-71.0856014
"484 Columbus Ave, Boston MA 02118",,,5,RichCorpSS,"42.3428068,-71.0787227",,,,,,,,,,,,,,,,1,,,,,,42.3428068,-71.0787227
"48-78 W Broadway, South Boston MA 02127",,,6,BigBldgDB,"42.3424729,-71.05622269999999",,,,,,,,,,,,,,,,,,,,,,42.3424729,-71.0562227
"5 Fan Pier Boulevard, Boston MA 02210",Via,416,22,RichCorpSS,"42.3528112,-71.04661879999999",,,,,,,,,1,,,,,,,,,,,,,42.3528112,-71.0466188
"5 Oak Street West, Boston MA 02116",,,16,BigBldgDB,"42.3483171,-71.06472099999999",,,,,,,,,,,,,,,,,,,,,,42.3483171,-71.064721
"50 Lewis St, East Boston, MA 02128",,,5,AirBPDBjn,"42.3670735,-71.0405374",,,,,,,,,,,,,1,,,,,,,,,42.3670735,-71.0405374
"505 Congress Street, Boston MA 02210",Waterside Place,236,20,RichCorpSS,"42.34803369999999,-71.0411874",,,,,,,,,,1,,,1,,,,,,,,,42.3480337,-71.0411874
"505 Tremont St, Boston MA 02116",,,10,AirBPDBjn,"42.3449122,-71.0707156",,,,,,,,,,,,,,,,,,,,,,42.3449122,-71.0707156
"520 Beacon St, Boston MA 02115",,,6,AirBPDBjn,"42.3507691,-71.0906784",,,,,,,,,,,,,,,,,,,,,,42.3507691,-71.0906784
"530 Atlantic Ave, Boston MA 02210",The Lofts at Atlantic Wharf,86,32,RichCorpSS,"42.3537627,-71.0530544",,,,,,1,,,,,,,1,1,,1,,,,,,42.3537627,-71.0530544
"539-551 Centre St, Jamaica Plain MA 02130",,,8,BigBldgDB,"42.3170047,-71.11409979999999",,,,,,,,,,,,,,,,,,,,,,42.3170047,-71.1140998
"55 Northern Av, Boston MA 02210",,,22,BigBldgDB,"42.3522494,-71.0457607",,,,,,,,,,,,,,,,,,,,,,42.3522494,-71.0457607
"55 Temple Place, Boston MA 02111",,,6,AirBPDBjn,"42.3548464,-71.0618248",,,,,,,,,,,,,,,,,,,,,,42.3548464,-71.0618248
"55 Thomson Pl, Boston MA 02210",,,17,BigBldgDB,"42.3516618,-71.0468811",,,,,,,,,,,,,,,,,,,,,,42.3516618,-71.0468811
"55-57 Traveler St, Boston MA 02118",The Troy,,19,BigBldgDB,"42.3436094,-71.0626836",,,,,,,,,,,,,,,,,1,,,,,42.3436094,-71.0626836
"566-574 Commonwealth Av, Boston MA 02215",,,13,BigBldgDB,"42.34867939999999,-71.0989034",,,,,,,,,,,,,,,,,,,,,,42.3486794,-71.0989034
"580 Washington Street, Boston  MA 02111",Millenium Place,256,15,RichCorpSS,"42.3532796,-71.0623509",,,,,,,,,,,,,1,,,,,,,,,42.3532796,-71.0623509
"6 Hamilton Place, Boston MA 02108",The Conrad,,4,RichCorpSS,"42.35623959999999,-71.06124",,,,,,,,,,,,,,,,,1,,,,,42.3562396,-71.06124
"601 Albany St, Boston MA 02116",601 Albany,,6,RichCorpSS,"42.337218,-71.068686",,,,,,,,,,,,,,,,,1,,,,,42.337218,-71.068686
"62 Boylston St, Boston MA 02116",62 on the Park,,10,RichCorpSS,"42.3522002,-71.064419",,,,,,,,,,,,,,,,,1,,,,,42.3522002,-71.064419
"6-26 New St, East Boston MA 02128",The Eddy Apartments,,9,BigBldgDB,"42.3712805,-71.04393139999999",,,,,,,,,,,,,,,,,,,,,,42.3712805,-71.0439314
"630 Washington Street, Boston MA 02111",FIDI Liberty Tree bldg,,5,RichCorpSS,"42.352306,-71.062382",,,,,,,,,,,,,,,,,1,,,,,42.352306,-71.062382
"65 Martha Rd, Boston MA 02114",,,11,BigBldgDB,"42.36565969999999,-71.0657015",,,,,,,,,,,,,,,,,,,,,,42.3656597,-71.0657015
"650 Columbus Av, Boston MA 02118",,,7,BigBldgDB,"42.3388562,-71.083529",,,,,,,,,,,,,,,,,,,,,,42.3388562,-71.083529
"650 Huntington Av, Boston MA 02120",,,24,BigBldgDB,"42.3352458,-71.1003577",,,,,,,,,,,,,,,,,,,,,,42.3352458,-71.1003577
"659-677 Washington St, Boston MA 02111",,,27,BigBldgDB,"42.3519216,-71.0628405",,,,,,,,,,,,,,,,,,,,,,42.3519216,-71.0628405
"660 Washington Street, Boston MA 02116",Archstone Boston Common,439,28,RichCorpSS,"42.35181679999999,-71.0624516",,,1,,1,,1,,,1,,1,1,1,,1,,1,,,,42.3518168,-71.0624516
"665 Washington Street, Boston MA 02111",The Kensington,381,25,RichCorpSS,"42.351766,-71.0632409",,,,,1,1,,,,1,,1,1,1,,1,,,,,,42.351766,-71.0632409
"677 Tremont Street, Boston MA 02118",CAJ House,,5,RichCorpSS,"42.3416617,-71.07641439999999",,,,,,,,,,,,,,,,1,,,,,,42.3416617,-71.0764144
"6-8 Whittier Pl, Boston MA 02114",,,17,AirBPDBjn,"42.3656073,-71.0673891",,,,,,,,,,,,,,,,,,,,,,42.3656073,-71.0673891
"71-87 Commercial St, Boston MA 02109",,,5.5,BigBldgDB,"42.36148499999999,-71.05269369999999",,,,,,,,,,,,,,,,,,,,,,42.361485,-71.0526937
"72 Staniford Street, Boston MA 02114","The Towers at Longfellow, 1,4,5 Longfellow Pl",,35,RichCorpSS,"42.3631806,-71.06416829999999",,,1,,1,,,,1,1,,1,1,,,1,,1,,,,42.3631806,-71.0641683
"725-751 Shawmut Av, Roxbury MA 02119",,,7,BigBldgDB,"42.3329469,-71.0835061",,,,,,,,,,,,,,,,,,,,,,42.3329469,-71.0835061
"725-743 Tremont St, Boston MA 02118",,,7,BigBldgDB,"42.3406976,-71.0789771",,,,,,,,,,,,,,,,,,,,,,42.3406976,-71.0789771
"75 Peterborough St, Boston MA 02215",Landmark Square,,7,RichCorpSS,"42.343793,-71.0981062",,,,,1,,,,,,,,,,,1,,,,,,42.343793,-71.0981062
"75 Saint Alphonsus St, Boston MA 02120",City View at Longwood,,21,RichCorpSS,"42.3343897,-71.1008916",,,,,1,,,,,,,1,1,,,1,,,,,,42.3343897,-71.1008916
"76 Fenwood Rd, Boston MA 02115",,,11,BigBldgDB,"42.335508,-71.10908599999999",,,,,,,,,,,,,,,,,,,,,,42.335508,-71.109086
"767 Shawmut Ave, Roxbury MA 02119",,,12,BigBldgDB,"42.3315021,-71.0847196",,,,,,,,,,,,,,,,,,,,,,42.3315021,-71.0847196
"77 Exeter Street, Boston MA 02116",Avalon Exeter,187,28,RichCorpSS,"42.348686,-71.0796433",,,,,,,,,,,,,,,,,,,,,,42.348686,-71.0796433
"770 Boylston Street, Boston MA 02199",Avalon at Prudential Gloucester,,26,RichCorpSS,"42.34814160000001,-71.0796293",,,,,,,,,1,,,,1,,,,,,,,,42.3481416,-71.0796293
"776 Boylston St, Boston MA 02199",,,14,AirBPDBjn,"42.3487748,-71.0813479",,,,,,,,,,,,,,,,,,,,,,42.3487748,-71.0813479
"78 Charles Street S, Boston MA 02116",Milner/Found Hotel,66,7,LHLicenses,"42.3499744,-71.0664443",,,,,,,,,,,,,,,,,,,,1,,42.3499744,-71.0664443
"780 Boylston Street, Boston MA 02199",Avalon at Prudential Center,792,25,RichCorpSS,"42.3482575,-71.0804783",,,1,,,1,,,1,,,,,,,1,,,,,,42.3482575,-71.0804783
"790 Boylston Street, Boston MA 02199",AVA Back Bay,250,26,RichCorpSS,"42.34819239999999,-71.0816562",,,,,,1,,,1,,,,1,,,,,,,,,42.3481924,-71.0816562
"8 Harrison Ave, Boston MA 02111",,,8,AirBPDBjn,"42.3522424,-71.0608332",,,,1,1,,,,,,,,,,,,,,,,,,
"8 Winter Street, Boston MA 02108",Artlab DX/Hamilton Crossing,,9,RichCorpSS,"42.3554762,-71.0615353",,,,,,1,,,,,,,,,,1,,,,,,42.3554762,-71.0615353
"80 Marlborough Street, Boston MA 02116",,,5,RichCorpSS,"42.3534501,-71.0755945",,,,,,,,,,,,,,,,1,,,,,,42.3534501,-71.0755945
"800 Boylston St, Boston MA 02199",,,25,AirBPDBjn,"42.3483326,-71.082475",,,,,,,,,,,,,,,,,,,,,,42.3483326,-71.082475
"85 East India Row, Boston MA 02110",Harbar Towers (# 1 & 2) condo,628,41,RichCorpSS,"42.3581217,-71.04982319999999",,,,,,,,,,,,,,,,1,,,,,,42.3581217,-71.0498232
"85 Seaport Blvd., Boston MA 02210",Watermark Seaport,346,17,RichCorpSS,"42.35137030000001,-71.0461553",,,,,1,1,,,,,,,1,1,,,,,,,,42.3513703,-71.0461553
"86 Charles Street, Boston MA 02114",,,6,RichCorpSS,"42.358298,-71.07083539999999",,,,,,1,,,,,,,,,,1,,,,,,42.358298,-71.0708354
"101 Canal Street, Boston MA 02114",Archstone Avenir,241,10,RichCorpSS,"42.364673,-71.060046",,,,,,,,,,,,,,,,,,1,,,,42.364673,-71.060046
"9 Miner Street, Boston MA 02215",Evolve Fenway (aka 900 Beacon St.),49,5,RichCorpSS,"42.3465132,-71.1032136",,,,,,,,,,,,,1,,,,,,,,,42.3465132,-71.1032136
"90 Charles Street, Boston MA 02114",,,6,RichCorpSS,"42.3584328,-71.0708555",,,,,,1,,,,,,,,,,,,,,,,42.3584328,-71.0708555
"91 Westland Av, Boston MA 02115",,,8,BigBldgDB,"42.3442253,-71.089541",,,,,,,,,,,,,,,,,,,,,,42.3442253,-71.089541
"915 American Legion Hw, Roslindale MA 02131",,,7,BigBldgDB,"42.27802399999999,-71.116952",,,,,,,,,,,,,,,,,,,,,,42.278024,-71.116952
"92 Charles Street, Boston MA 02114",,,6,RichCorpSS,"42.35846069999999,-71.0709074",,,,,,1,,,,,,,,,,1,,,,,,42.3584607,-71.0709074
"95 Haverhill St, Boston MA 02114",,,11,BigBldgDB,"42.36527479999999,-71.0598059",,,,,,,,,,,,,,,,,,,,,,42.3652748,-71.0598059
"99 Kneeland Street, Boston MA 02111",The Tower at One Greenway,,21,RichCorpSS,"42.349625,-71.06026949999999",,,,,1,,,,,1,,,1,,,,,,,,,42.349625,-71.0602695
"99 Saint Botolph St, Boston MA 02116",,,5,RichCorpSS,"42.345032,-71.080845",,,,,,,,,,,,,,,,1,,,,,,42.345032,-71.080845
"One Devonshire Place, Boston MA 02109",The Devonshire,,43,RichCorpSS,"42.3582062,-71.0574839",,,,,,1,,,1,,,,1,1,,1,,,,,,42.3582062,-71.0574839
"One India Street, Boston MA 02109",Oakwood,94,11,RichCorpSS,"42.358915,-71.054155",,,,,,,,,,,,,,1,,,,,,,,42.358915,-71.054155
"One Park Lane, Boston MA 02210",Park Lane Seaport,,21,RichCorpSS,"42.3481344,-71.0379732",,,,,,1,,,,,,,1,,,,,,,,,42.3481344,-71.0379732